label,class,io,landmark
/a/airfield,0,2,1
/a/airplane_cabin,1,1,0
/a/airport_terminal,2,1,0
/a/alcove,3,1,0
/a/alley,4,2,0
/a/amphitheater,5,2,1
/a/amusement_arcade,6,1,0
/a/amusement_park,7,2,1
/a/apartment_building/outdoor,8,2,1
/a/aquarium,9,1,0
/a/aqueduct,10,2,1
/a/arcade,11,1,0
/a/arch,12,2,1
/a/archaelogical_excavation,13,1,1
/a/archive,14,1,1
/a/arena/hockey,15,1,0
/a/arena/performance,16,1,0
/a/arena/rodeo,17,1,0
/a/army_base,18,2,1
/a/art_gallery,19,1,1
/a/art_school,20,1,1
/a/art_studio,21,1,0
/a/artists_loft,22,1,0
/a/assembly_line,23,1,0
/a/athletic_field/outdoor,24,2,1
/a/atrium/public,25,1,1
/a/attic,26,1,0
/a/auditorium,27,1,1
/a/auto_factory,28,1,0
/a/auto_showroom,29,1,0
/b/badlands,30,2,1
/b/bakery/shop,31,1,1
/b/balcony/exterior,32,2,1
/b/balcony/interior,33,2,0
/b/ball_pit,34,1,0
/b/ballroom,35,1,1
/b/bamboo_forest,36,2,1
/b/bank_vault,37,1,0
/b/banquet_hall,38,1,1
/b/bar,39,1,0
/b/barn,40,2,1
/b/barndoor,41,2,0
/b/baseball_field,42,2,1
/b/basement,43,1,0
/b/basketball_court/indoor,44,1,0
/b/bathroom,45,1,0
/b/bazaar/indoor,46,1,1
/b/bazaar/outdoor,47,2,1
/b/beach,48,2,1
/b/beach_house,49,2,1
/b/beauty_salon,50,1,0
/b/bedchamber,51,1,0
/b/bedroom,52,1,0
/b/beer_garden,53,2,1
/b/beer_hall,54,1,0
/b/berth,55,1,0
/b/biology_laboratory,56,1,0
/b/boardwalk,57,2,1
/b/boat_deck,58,2,1
/b/boathouse,59,2,1
/b/bookstore,60,1,1
/b/booth/indoor,61,1,0
/b/botanical_garden,62,2,1
/b/bow_window/indoor,63,1,0
/b/bowling_alley,64,1,0
/b/boxing_ring,65,1,0
/b/bridge,66,2,1
/b/building_facade,67,2,1
/b/bullring,68,2,1
/b/burial_chamber,69,1,1
/b/bus_interior,70,1,0
/b/bus_station/indoor,71,2,0
/b/butchers_shop,72,1,0
/b/butte,73,2,1
/c/cabin/outdoor,74,2,1
/c/cafeteria,75,1,0
/c/campsite,76,2,1
/c/campus,77,2,1
/c/canal/natural,78,2,1
/c/canal/urban,79,2,1
/c/candy_store,80,1,0
/c/canyon,81,2,1
/c/car_interior,82,1,0
/c/carrousel,83,2,1
/c/castle,84,2,1
/c/catacomb,85,1,1
/c/cemetery,86,2,1
/c/chalet,87,2,1
/c/chemistry_lab,88,1,0
/c/childs_room,89,1,0
/c/church/indoor,90,1,1
/c/church/outdoor,91,2,1
/c/classroom,92,1,0
/c/clean_room,93,1,0
/c/cliff,94,2,1
/c/closet,95,1,0
/c/clothing_store,96,1,0
/c/coast,97,2,1
/c/cockpit,98,1,0
/c/coffee_shop,99,1,0
/c/computer_room,100,1,0
/c/conference_center,101,1,0
/c/conference_room,102,1,0
/c/construction_site,103,2,0
/c/corn_field,104,2,1
/c/corral,105,2,1
/c/corridor,106,1,0
/c/cottage,107,2,1
/c/courthouse,108,2,1
/c/courtyard,109,2,1
/c/creek,110,2,1
/c/crevasse,111,2,1
/c/crosswalk,112,2,1
/d/dam,113,2,1
/d/delicatessen,114,1,0
/d/department_store,115,1,0
/d/desert/sand,116,2,1
/d/desert/vegetation,117,2,1
/d/desert_road,118,2,1
/d/diner/outdoor,119,2,1
/d/dining_hall,120,1,0
/d/dining_room,121,1,0
/d/discotheque,122,1,0
/d/doorway/outdoor,123,2,1
/d/dorm_room,124,1,0
/d/downtown,125,2,1
/d/dressing_room,126,1,0
/d/driveway,127,2,1
/d/drugstore,128,1,0
/e/elevator/door,129,1,0
/e/elevator_lobby,130,1,0
/e/elevator_shaft,131,1,0
/e/embassy,132,2,1
/e/engine_room,133,1,0
/e/entrance_hall,134,1,1
/e/escalator/indoor,135,1,0
/e/excavation,136,2,1
/f/fabric_store,137,1,0
/f/farm,138,2,1
/f/fastfood_restaurant,139,1,0
/f/field/cultivated,140,2,1
/f/field/wild,141,2,1
/f/field_road,142,2,1
/f/fire_escape,143,2,0
/f/fire_station,144,2,1
/f/fishpond,145,2,1
/f/flea_market/indoor,146,1,0
/f/florist_shop/indoor,147,1,0
/f/food_court,148,1,0
/f/football_field,149,2,1
/f/forest/broadleaf,150,2,1
/f/forest_path,151,2,1
/f/forest_road,152,2,1
/f/formal_garden,153,2,1
/f/fountain,154,2,1
/g/galley,155,1,1
/g/garage/indoor,156,1,0
/g/garage/outdoor,157,2,0
/g/gas_station,158,2,0
/g/gazebo/exterior,159,2,1
/g/general_store/indoor,160,1,0
/g/general_store/outdoor,161,2,1
/g/gift_shop,162,1,0
/g/glacier,163,2,1
/g/golf_course,164,2,1
/g/greenhouse/indoor,165,1,1
/g/greenhouse/outdoor,166,2,1
/g/grotto,167,2,1
/g/gymnasium/indoor,168,1,0
/h/hangar/indoor,169,1,0
/h/hangar/outdoor,170,2,1
/h/harbor,171,2,1
/h/hardware_store,172,1,0
/h/hayfield,173,2,1
/h/heliport,174,2,1
/h/highway,175,2,1
/h/home_office,176,1,0
/h/home_theater,177,1,0
/h/hospital,178,2,0
/h/hospital_room,179,1,0
/h/hot_spring,180,2,1
/h/hotel/outdoor,181,2,1
/h/hotel_room,182,1,0
/h/house,183,2,1
/h/hunting_lodge/outdoor,184,2,1
/i/ice_cream_parlor,185,1,0
/i/ice_floe,186,2,1
/i/ice_shelf,187,2,1
/i/ice_skating_rink/indoor,188,1,1
/i/ice_skating_rink/outdoor,189,2,1
/i/iceberg,190,2,1
/i/igloo,191,2,1
/i/industrial_area,192,2,1
/i/inn/outdoor,193,2,1
/i/islet,194,2,1
/j/jacuzzi/indoor,195,1,0
/j/jail_cell,196,1,0
/j/japanese_garden,197,2,1
/j/jewelry_shop,198,1,0
/j/junkyard,199,2,0
/k/kasbah,200,2,1
/k/kennel/outdoor,201,2,1
/k/kindergarden_classroom,202,1,0
/k/kitchen,203,1,0
/l/lagoon,204,2,1
/l/lake/natural,205,2,1
/l/landfill,206,2,0
/l/landing_deck,207,2,1
/l/laundromat,208,1,0
/l/lawn,209,2,1
/l/lecture_room,210,1,0
/l/legislative_chamber,211,1,0
/l/library/indoor,212,1,1
/l/library/outdoor,213,2,1
/l/lighthouse,214,2,1
/l/living_room,215,1,0
/l/loading_dock,216,2,0
/l/lobby,217,1,0
/l/lock_chamber,218,2,1
/l/locker_room,219,1,0
/m/mansion,220,2,1
/m/manufactured_home,221,2,1
/m/market/indoor,222,1,0
/m/market/outdoor,223,2,1
/m/marsh,224,2,1
/m/martial_arts_gym,225,1,0
/m/mausoleum,226,2,1
/m/medina,227,2,1
/m/mezzanine,228,1,0
/m/moat/water,229,2,1
/m/mosque/outdoor,230,2,1
/m/motel,231,2,1
/m/mountain,232,2,1
/m/mountain_path,233,2,1
/m/mountain_snowy,234,2,1
/m/movie_theater/indoor,235,1,0
/m/museum/indoor,236,1,1
/m/museum/outdoor,237,2,1
/m/music_studio,238,1,0
/n/natural_history_museum,239,1,1
/n/nursery,240,1,0
/n/nursing_home,241,1,0
/o/oast_house,242,2,1
/o/ocean,243,2,1
/o/office,244,1,0
/o/office_building,245,2,1
/o/office_cubicles,246,1,0
/o/oilrig,247,2,0
/o/operating_room,248,1,0
/o/orchard,249,2,1
/o/orchestra_pit,250,1,1
/p/pagoda,251,2,1
/p/palace,252,2,1
/p/pantry,253,1,0
/p/park,254,2,1
/p/parking_garage/indoor,255,1,0
/p/parking_garage/outdoor,256,2,0
/p/parking_lot,257,2,0
/p/pasture,258,2,1
/p/patio,259,2,1
/p/pavilion,260,2,1
/p/pet_shop,261,1,0
/p/pharmacy,262,1,0
/p/phone_booth,263,2,0
/p/physics_laboratory,264,1,0
/p/picnic_area,265,2,1
/p/pier,266,2,1
/p/pizzeria,267,1,0
/p/playground,268,2,1
/p/playroom,269,1,0
/p/plaza,270,2,1
/p/pond,271,2,1
/p/porch,272,2,1
/p/promenade,273,2,1
/p/pub/indoor,274,1,0
/r/racecourse,275,2,1
/r/raceway,276,2,1
/r/raft,277,2,1
/r/railroad_track,278,2,1
/r/rainforest,279,2,1
/r/reception,280,1,0
/r/recreation_room,281,1,0
/r/repair_shop,282,1,0
/r/residential_neighborhood,283,2,1
/r/restaurant,284,1,1
/r/restaurant_kitchen,285,1,0
/r/restaurant_patio,286,2,0
/r/rice_paddy,287,2,1
/r/river,288,2,1
/r/rock_arch,289,2,1
/r/roof_garden,290,2,1
/r/rope_bridge,291,2,1
/r/ruin,292,2,1
/r/runway,293,2,1
/s/sandbox,294,2,0
/s/sauna,295,1,1
/s/schoolhouse,296,2,1
/s/science_museum,297,1,1
/s/server_room,298,1,0
/s/shed,299,2,1
/s/shoe_shop,300,1,0
/s/shopfront,301,2,1
/s/shopping_mall/indoor,302,1,0
/s/shower,303,1,0
/s/ski_resort,304,2,1
/s/ski_slope,305,2,1
/s/sky,306,2,0
/s/skyscraper,307,2,1
/s/slum,308,2,1
/s/snowfield,309,2,1
/s/soccer_field,310,2,1
/s/stable,311,1,1
/s/stadium/baseball,312,2,1
/s/stadium/football,313,2,1
/s/stadium/soccer,314,2,1
/s/stage/indoor,315,1,1
/s/stage/outdoor,316,2,1
/s/staircase,317,1,0
/s/storage_room,318,1,0
/s/street,319,2,1
/s/subway_station/platform,320,1,1
/s/supermarket,321,1,0
/s/sushi_bar,322,1,0
/s/swamp,323,2,1
/s/swimming_hole,324,1,1
/s/swimming_pool/indoor,325,1,1
/s/swimming_pool/outdoor,326,2,1
/s/synagogue/outdoor,327,2,0
/t/television_room,328,1,0
/t/television_studio,329,1,0
/t/temple/asia,330,2,1
/t/throne_room,331,1,1
/t/ticket_booth,332,1,1
/t/topiary_garden,333,2,1
/t/tower,334,2,1
/t/toyshop,335,1,0
/t/train_interior,336,1,0
/t/train_station/platform,337,1,1
/t/tree_farm,338,2,1
/t/tree_house,339,2,1
/t/trench,340,2,1
/t/tundra,341,2,1
/u/underwater/ocean_deep,342,2,1
/u/utility_room,343,1,0
/v/valley,344,2,1
/v/vegetable_garden,345,2,1
/v/veterinarians_office,346,1,0
/v/viaduct,347,2,1
/v/village,348,2,1
/v/vineyard,349,2,1
/v/volcano,350,2,1
/v/volleyball_court/outdoor,351,2,1
/w/waiting_room,352,1,0
/w/water_park,353,2,1
/w/water_tower,354,2,1
/w/waterfall,355,2,1
/w/watering_hole,356,2,1
/w/wave,357,2,1
/w/wet_bar,358,1,1
/w/wheat_field,359,2,1
/w/wind_farm,360,2,1
/w/windmill,361,2,1
/y/yard,362,2,1
/y/youth_hostel,363,1,0
/z/zen_garden,364,2,1
